physical_corridor,train_number,day,departure_seconds,arrival_seconds,day_of_week,slot_in_day,slot
CORR_BDI|BSL,12129,2,10620.0,12000.0,2,1,9
CORR_BDI|BSL,12545,2,168300.0,168780.0,2,2,10
CORR_BDI|TRW,12545,2,168780.0,168960.0,2,2,10
CORR_JL|TRW,12545,2,168960.0,169200.0,2,2,10
CORR_JL|TRW,12781,3,120.0,480.0,3,0,12
CORR_BDI|TRW,12781,3,480.0,660.0,3,0,12
CORR_BDI|BSL,12781,3,660.0,1200.0,3,0,12
CORR_GZB|SBB,14649,2,40320.0,41100.0,2,3,11
CORR_GZB|SBB,22407,2,35040.0,35580.0,2,3,11
CORR_JL|TRW,22131,2,420.0,780.0,2,0,8
CORR_BDI|TRW,22131,2,780.0,960.0,2,0,8
CORR_BDI|BSL,22131,2,960.0,1500.0,2,0,8
CORR_KYN|THK,11018,2,17700.0,17940.0,2,3,11
CORR_DI|THK,11018,2,17940.0,18060.0,2,3,11
CORR_DI|THK,11057-Slip,2,1500.0,1620.0,2,0,8
CORR_KYN|THK,11057-Slip,2,1620.0,1800.0,2,0,8
CORR_KYN|THK,17058,2,21600.0,21780.0,2,3,11
CORR_DI|THK,17058,2,21780.0,21900.0,2,3,11
CORR_BDI|BSL,18405,2,75300.0,76560.0,2,3,11
CORR_BDI|TRW,18405,2,76560.0,76920.0,2,3,11
CORR_JL|TRW,18405,2,76920.0,77640.0,2,3,11
CORR_KYN|THK,16506,2,78300.0,78600.0,2,3,11
CORR_DI|THK,16506,2,78600.0,78720.0,2,3,11
CORR_GZB|SBB,14003,2,49320.0,50040.0,2,3,11
CORR_GZB|SBB,18102,2,19320.0,20100.0,2,3,11
CORR_DI|THK,12125,1,61860.0,61980.0,1,3,7
CORR_KYN|THK,12125,1,61980.0,62160.0,1,3,7
CORR_KYN|THK,19567,2,28200.0,28560.0,2,3,11
CORR_DI|THK,19567,2,28560.0,28680.0,2,3,11
CORR_GZB|SBB,12323,2,60120.0,60540.0,2,3,11
CORR_GZB|SBB,12815,2,59400.0,59940.0,2,3,11
CORR_BDI|BSL,12108,2,54600.0,55200.0,2,3,11
CORR_BDI|TRW,12108,2,55200.0,55440.0,2,3,11
CORR_JL|TRW,12108,2,55440.0,55800.0,2,3,11
CORR_KYN|THK,12108,2,78600.0,78780.0,2,3,11
CORR_DI|THK,12108,2,78780.0,78840.0,2,3,11
CORR_DI|THK,11087,2,4860.0,5040.0,2,0,8
CORR_KYN|THK,11087,2,5040.0,6300.0,2,0,8
CORR_GZB|SBB,19269,2,75360.0,75840.0,2,3,11
CORR_DI|THK,16381,1,59640.0,59700.0,1,3,7
CORR_KYN|THK,16381,1,59700.0,59880.0,1,3,7
CORR_JL|TRW,11033,2,300.0,720.0,2,0,8
CORR_BDI|TRW,11033,2,720.0,900.0,2,0,8
CORR_BDI|BSL,11033,2,900.0,1500.0,2,0,8
CORR_JL|TRW,12833,2,124800.0,125460.0,2,3,11
CORR_BDI|TRW,12833,2,125460.0,125820.0,2,3,11
CORR_BDI|BSL,12833,2,125820.0,126900.0,2,3,11
CORR_BDI|BSL,19052,2,72000.0,73500.0,2,3,11
CORR_BDI|TRW,19052,2,73500.0,73980.0,2,3,11
CORR_JL|TRW,19052,2,73980.0,74940.0,2,3,11
CORR_BDI|BSL,12104,1,82500.0,83160.0,1,2,6
CORR_BDI|TRW,12104,1,83160.0,83340.0,1,2,6
CORR_JL|TRW,12104,1,83340.0,83760.0,1,2,6
CORR_GZB|SBB,14006,1,57420.0,58260.0,1,3,7
CORR_GZB|SBB,22824,1,63060.0,63360.0,1,3,7
CORR_BDI|BSL,11034,2,81900.0,82560.0,2,2,10
CORR_BDI|TRW,11034,2,82560.0,82800.0,2,2,10
CORR_JL|TRW,11034,2,82800.0,83220.0,2,2,10
CORR_KYN|THK,12541,3,11100.0,11400.0,3,1,13
CORR_DI|THK,12541,3,11400.0,11520.0,3,1,13
CORR_BDI|BSL,16125,2,47400.0,49260.0,2,3,11
CORR_BDI|TRW,16125,2,49260.0,49860.0,2,3,11
CORR_JL|TRW,16125,2,49860.0,50940.0,2,3,11
CORR_BDI|BSL,12843,2,75300.0,76500.0,2,3,11
CORR_BDI|TRW,12843,2,76500.0,76860.0,2,3,11
CORR_JL|TRW,12843,2,76860.0,77640.0,2,3,11
CORR_BDI|BSL,12130,2,78000.0,78900.0,2,3,11
CORR_BDI|TRW,12130,2,78900.0,79200.0,2,3,11
CORR_JL|TRW,12130,2,79200.0,79740.0,2,2,10
CORR_GZB|SBB,15274,1,63900.0,64980.0,1,3,7
CORR_BDI|BSL,12812,2,21900.0,22500.0,2,3,11
